University_Name,World_Ranking,Asia_Ranking,HEC_Ranking,Location,Type,Acceptance_Rate,Publications
Abasyn University ,7409,2880,98,Peshawar,For-profit,55,352
Abdul Wali Khan University Mardan,3917,1313,21,Mardan,Non-profit,577,3115
Aga Khan University,1559,434,2,Karachi,Non-profit,577,7475
Air University,5473,1999,52,Islamabad,Non-profit,14,1260
Bacha Khan University ,7300,2836,95,Peshawar,Public-private,577,471
Bahauddin Zakariya University,2862,896,9,Multan,Non-profit,577,4756
Bahria University,4860,1725,36,Islamabad,Non-profit,577,2236
"Balochistan University of Information Technology, Engineering and Management Sciences",6322,2365,68,Quetta,Non-profit,25,722
Baqai Medical University ,6519,2460,76,Karachi,Private,577,509
Beaconhouse National University ,6667,2532,81,Lahore,Non-profit,577,97
CECOS University ,7193,2782,93,Peshawar,Private,577,2229
COMSATS Institute of Information Technology,2526,758,8,Islamabad,Non-profit,35,17977
Dawood University of Engineering and Technology ,7072,2722,90,Karachi,Public-private,55,241
DOW University of Health Sciences,4186,1435,23,Karachi,Non-profit,55,3027
Fatima Jinnah Medical University ,6826,2599,82,Lahore,Private,1500,296
Fatima Jinnah Women University,4194,1440,24,Rawalpindi,Non-profit,55,720
"Federal Urdu University of Arts, Sciences and Technology",5312,1938,47,Islamabad,Non-profit,577,1218
Forman Christian College,4326,1490,27,Lahore,Non-profit,577,768
Foundation University Islamabad,5365,1959,49,Islamabad,Non-profit,577,2118
Ghulam Ishaq Khan Institute of Engineering Sciences and Technology ,4992,1788,39,Topi,Non-profit,5,790
Gomal University,5125,1844,44,Dera Ismail Khan,Non-profit,577,1389
"Government College for Women University, Sialkot ",7540,2939,100,Sialkot,Public-private,58,2229
"Government College University, Faisalabad",3868,1291,19,Faisalabad,Non-profit,25,4950
"Government College University, Lahore",3498,1139,16,Lahore,Non-profit,577,3160
"Government College Women University, Faisalabad ",7336,2851,96,Faisalabad,Public-private,577,463
Hamdard University,5114,1838,43,Karachi,Non-profit,577,3068
Hazara University,5534,2024,53,Hazara,Non-profit,577,2114
HITEC University ,6989,2681,88,Taxila,Non-profit,577,653
"Indus University, Pakistan ",7153,2756,92,Karachi,Private,45,313
Information Technology University,4115,1405,22,Lahore,Non-profit,375,11172
Institute of Business Administration ,4248,1457,25,Karachi,Non-profit,7,371
Institute of Space Technology,5785,2130,58,Islamabad,Non-profit,577,870
"International Islamic University, Islamabad",2912,912,10,Islamabad,Non-profit,577,4841
Iqra University,5762,2118,57,Karachi,Private,577,1082
Islamia College Peshawar,5819,2148,59,Peshawar,Non-profit,577,1241
Islamia University of Bahawalpur,3473,1129,15,Bahawalpur,Non-profit,85,3699
Isra University,6374,2385,70,Hyderabad,Private,55,969
Jinnah Sindh Medical University ,5606,2055,55,Karachi,Non-profit,1500,571
Jinnah University for Women ,6828,2600,83,Karachi,Non-profit,577,535
Karachi Institute of Economics and Technology ,6406,2403,72,Karachi,Private,55,238
Karakurum International University ,6516,2457,75,Gilgit,Non-profit,55,451
Khyber Medical University,5428,1981,51,Peshawar,Non-profit,577,784
